tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
Model passed causality check.
step:0/4768 | val loss 11.018694
step:79/4768 | loss 0.214610 | train_time:716.10s | step_avg:8951.26ms
step:80/4768 | loss 0.213715 | train_time:725.04s | step_avg:8951.05ms
step:81/4768 | loss 0.216942 | train_time:733.97s | step_avg:8950.86ms
step:82/4768 | loss 0.214520 | train_time:742.91s | step_avg:8950.72ms
step:83/4768 | loss 0.212340 | train_time:751.85s | step_avg:8950.58ms
step:84/4768 | loss 0.211447 | train_time:760.79s | step_avg:8950.43ms
step:85/4768 | loss 0.210247 | train_time:769.73s | step_avg:8950.34ms
step:86/4768 | loss 0.210004 | train_time:778.67s | step_avg:8950.27ms
step:87/4768 | loss 0.208655 | train_time:787.61s | step_avg:8950.16ms
step:88/4768 | loss 0.208527 | train_time:796.56s | step_avg:8950.06ms
step:89/4768 | loss 0.207206 | train_time:805.49s | step_avg:8949.93ms
step:90/4768 | loss 0.208134 | train_time:814.43s | step_avg:8949.80ms
step:91/4768 | loss 0.208026 | train_time:823.37s | step_avg:8949.65ms
step:92/4768 | loss 0.208318 | train_time:832.30s | step_avg:8949.51ms
step:93/4768 | loss 0.207811 | train_time:841.24s | step_avg:8949.37ms
step:94/4768 | loss 0.207819 | train_time:850.18s | step_avg:8949.26ms
step:95/4768 | loss 0.204029 | train_time:859.12s | step_avg:8949.14ms
step:96/4768 | loss 0.207581 | train_time:868.06s | step_avg:8949.02ms
step:97/4768 | loss 0.205048 | train_time:877.02s | step_avg:8949.20ms
step:98/4768 | loss 0.204704 | train_time:885.97s | step_avg:8949.19ms
step:99/4768 | loss 0.203596 | train_time:894.92s | step_avg:8949.21ms
step:100/4768 | loss 0.204577 | train_time:903.88s | step_avg:8949.28ms
step:101/4768 | loss 0.201433 | train_time:912.82s | step_avg:8949.18ms
step:102/4768 | loss 0.201551 | train_time:921.75s | step_avg:8949.04ms
