tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:81/4768 | loss 0.203995 | train_time:483.67s | step_avg:5898.42ms
step:82/4768 | loss 0.202255 | train_time:489.57s | step_avg:5898.39ms
step:83/4768 | loss 0.200870 | train_time:495.47s | step_avg:5898.42ms
step:84/4768 | loss 0.200060 | train_time:501.36s | step_avg:5898.39ms
step:85/4768 | loss 0.199498 | train_time:507.26s | step_avg:5898.41ms
step:86/4768 | loss 0.199183 | train_time:513.17s | step_avg:5898.45ms
step:87/4768 | loss 0.198559 | train_time:519.06s | step_avg:5898.46ms
step:88/4768 | loss 0.198330 | train_time:524.96s | step_avg:5898.43ms
step:89/4768 | loss 0.196938 | train_time:530.86s | step_avg:5898.41ms
step:90/4768 | loss 0.198014 | train_time:536.75s | step_avg:5898.37ms
step:91/4768 | loss 0.198101 | train_time:542.65s | step_avg:5898.36ms
step:92/4768 | loss 0.198097 | train_time:548.55s | step_avg:5898.38ms
step:93/4768 | loss 0.196808 | train_time:554.45s | step_avg:5898.36ms
step:94/4768 | loss 0.195328 | train_time:560.35s | step_avg:5898.40ms
step:95/4768 | loss 0.193425 | train_time:566.25s | step_avg:5898.40ms
step:96/4768 | loss 0.196771 | train_time:572.14s | step_avg:5898.37ms
step:97/4768 | loss 0.195273 | train_time:578.04s | step_avg:5898.34ms
step:98/4768 | loss 0.195724 | train_time:583.94s | step_avg:5898.35ms
step:99/4768 | loss 0.195630 | train_time:589.83s | step_avg:5898.35ms
step:100/4768 | loss 0.196495 | train_time:595.73s | step_avg:5898.36ms
step:101/4768 | loss 0.195059 | train_time:601.63s | step_avg:5898.34ms
step:102/4768 | loss 0.195554 | train_time:607.53s | step_avg:5898.32ms
step:103/4768 | loss 0.195194 | train_time:613.42s | step_avg:5898.28ms
step:104/4768 | loss 0.195837 | train_time:619.32s | step_avg:5898.26ms
step:105/4768 | loss 0.197285 | train_time:625.23s | step_avg:5898.42ms
step:106/4768 | loss 0.195591 | train_time:631.13s | step_avg:5898.39ms
step:107/4768 | loss 0.193204 | train_time:637.03s | step_avg:5898.39ms
step:108/4768 | loss 0.194052 | train_time:642.93s | step_avg:5898.40ms
step:109/4768 | loss 0.195325 | train_time:648.83s | step_avg:5898.42ms
step:110/4768 | loss 0.192430 | train_time:654.72s | step_avg:5898.42ms
step:111/4768 | loss 0.193161 | train_time:660.62s | step_avg:5898.41ms
step:112/4768 | loss 0.193240 | train_time:666.52s | step_avg:5898.39ms
step:113/4768 | loss 0.191032 | train_time:672.41s | step_avg:5898.36ms
step:114/4768 | loss 0.193001 | train_time:678.31s | step_avg:5898.37ms
step:115/4768 | loss 0.191512 | train_time:684.21s | step_avg:5898.35ms
step:116/4768 | loss 0.190315 | train_time:690.11s | step_avg:5898.34ms
step:117/4768 | loss 0.189017 | train_time:696.00s | step_avg:5898.35ms
step:118/4768 | loss 0.190147 | train_time:701.90s | step_avg:5898.32ms
step:119/4768 | loss 0.188803 | train_time:707.80s | step_avg:5898.31ms
step:120/4768 | loss 0.189024 | train_time:713.69s | step_avg:5898.29ms
step:121/4768 | loss 0.186709 | train_time:719.59s | step_avg:5898.27ms
step:122/4768 | loss 0.189347 | train_time:725.48s | step_avg:5898.25ms
step:123/4768 | loss 0.187228 | train_time:731.38s | step_avg:5898.23ms
step:124/4768 | loss 0.186655 | train_time:737.28s | step_avg:5898.20ms
step:125/4768 | loss 0.185887 | train_time:743.18s | step_avg:5898.24ms
step:126/4768 | loss 0.189219 | train_time:749.07s | step_avg:5898.21ms
step:127/4768 | loss 0.186448 | train_time:754.97s | step_avg:5898.22ms
step:128/4768 | val loss 6.023422
step:128/4768 | loss 0.188296 | train_time:760.88s | step_avg:5898.30ms
step:129/4768 | loss 0.187219 | train_time:766.78s | step_avg:5898.32ms
step:130/4768 | loss 0.187835 | train_time:772.68s | step_avg:5898.30ms
step:131/4768 | loss 0.185970 | train_time:778.57s | step_avg:5898.29ms
step:132/4768 | loss 0.184655 | train_time:784.47s | step_avg:5898.28ms
step:133/4768 | loss 0.187087 | train_time:790.36s | step_avg:5898.25ms
step:134/4768 | loss 0.187098 | train_time:796.26s | step_avg:5898.23ms
step:135/4768 | loss 0.186502 | train_time:802.16s | step_avg:5898.21ms
step:136/4768 | loss 0.187020 | train_time:808.05s | step_avg:5898.20ms
step:137/4768 | loss 0.187647 | train_time:813.95s | step_avg:5898.16ms
step:138/4768 | loss 0.186342 | train_time:819.84s | step_avg:5898.11ms
step:139/4768 | loss 0.188101 | train_time:825.73s | step_avg:5898.07ms
step:140/4768 | loss 0.184975 | train_time:831.62s | step_avg:5898.02ms
step:141/4768 | loss 0.187765 | train_time:837.51s | step_avg:5897.98ms
step:142/4768 | loss 0.186634 | train_time:843.41s | step_avg:5897.95ms
step:143/4768 | loss 0.185769 | train_time:849.30s | step_avg:5897.92ms
step:144/4768 | loss 0.184526 | train_time:855.20s | step_avg:5897.90ms
step:145/4768 | loss 0.182151 | train_time:861.09s | step_avg:5897.88ms
step:146/4768 | loss 0.182419 | train_time:866.99s | step_avg:5897.87ms
step:147/4768 | loss 0.183937 | train_time:872.88s | step_avg:5897.87ms
step:148/4768 | loss 0.184275 | train_time:878.78s | step_avg:5897.84ms
step:149/4768 | loss 0.182712 | train_time:884.68s | step_avg:5897.84ms
step:150/4768 | loss 0.182328 | train_time:890.58s | step_avg:5897.86ms
step:151/4768 | loss 0.180280 | train_time:896.47s | step_avg:5897.85ms
step:152/4768 | loss 0.181804 | train_time:902.37s | step_avg:5897.86ms
step:153/4768 | loss 0.180402 | train_time:908.28s | step_avg:5897.90ms
step:154/4768 | loss 0.182531 | train_time:914.18s | step_avg:5897.93ms
step:155/4768 | loss 0.181895 | train_time:920.08s | step_avg:5897.97ms
step:156/4768 | loss 0.182318 | train_time:925.99s | step_avg:5898.00ms
step:157/4768 | loss 0.179596 | train_time:931.89s | step_avg:5898.03ms
step:158/4768 | loss 0.179530 | train_time:937.79s | step_avg:5898.05ms
step:159/4768 | loss 0.180773 | train_time:943.69s | step_avg:5898.08ms
step:160/4768 | loss 0.179865 | train_time:949.60s | step_avg:5898.11ms
step:161/4768 | loss 0.179848 | train_time:955.50s | step_avg:5898.14ms
step:162/4768 | loss 0.178571 | train_time:961.40s | step_avg:5898.15ms
step:163/4768 | loss 0.179071 | train_time:967.30s | step_avg:5898.15ms
step:164/4768 | loss 0.177950 | train_time:973.19s | step_avg:5898.14ms
step:165/4768 | loss 0.179527 | train_time:979.09s | step_avg:5898.13ms
step:166/4768 | loss 0.177455 | train_time:984.98s | step_avg:5898.11ms
step:167/4768 | loss 0.177553 | train_time:990.88s | step_avg:5898.11ms
step:168/4768 | loss 0.176335 | train_time:996.78s | step_avg:5898.10ms
step:169/4768 | loss 0.175023 | train_time:1002.68s | step_avg:5898.13ms
step:170/4768 | loss 0.174098 | train_time:1008.58s | step_avg:5898.14ms
step:171/4768 | loss 0.177635 | train_time:1014.49s | step_avg:5898.18ms
step:172/4768 | loss 0.175557 | train_time:1020.39s | step_avg:5898.21ms
step:173/4768 | loss 0.179226 | train_time:1026.30s | step_avg:5898.27ms
step:174/4768 | loss 0.179843 | train_time:1032.20s | step_avg:5898.31ms
step:175/4768 | loss 0.179034 | train_time:1038.11s | step_avg:5898.35ms
step:176/4768 | loss 0.176623 | train_time:1044.01s | step_avg:5898.38ms
step:177/4768 | loss 0.177487 | train_time:1049.92s | step_avg:5898.43ms
step:178/4768 | loss 0.178139 | train_time:1055.82s | step_avg:5898.46ms
step:179/4768 | loss 0.176000 | train_time:1061.73s | step_avg:5898.48ms
step:180/4768 | loss 0.174970 | train_time:1067.63s | step_avg:5898.53ms
step:181/4768 | loss 0.177326 | train_time:1073.54s | step_avg:5898.55ms
step:182/4768 | loss 0.174568 | train_time:1079.44s | step_avg:5898.56ms
step:183/4768 | loss 0.176580 | train_time:1085.34s | step_avg:5898.57ms
step:184/4768 | loss 0.175559 | train_time:1091.24s | step_avg:5898.59ms
step:185/4768 | loss 0.173375 | train_time:1097.14s | step_avg:5898.60ms
step:186/4768 | loss 0.177207 | train_time:1103.04s | step_avg:5898.61ms
step:187/4768 | loss 0.175264 | train_time:1108.94s | step_avg:5898.63ms
step:188/4768 | loss 0.170048 | train_time:1114.84s | step_avg:5898.64ms
step:189/4768 | loss 0.174257 | train_time:1120.75s | step_avg:5898.66ms
step:190/4768 | loss 0.174616 | train_time:1126.85s | step_avg:5899.74ms
step:191/4768 | loss 0.171077 | train_time:1132.75s | step_avg:5899.72ms
step:192/4768 | loss 0.170759 | train_time:1138.64s | step_avg:5899.69ms
step:193/4768 | loss 0.173271 | train_time:1144.53s | step_avg:5899.66ms
step:194/4768 | loss 0.174494 | train_time:1150.43s | step_avg:5899.64ms
step:195/4768 | loss 0.173506 | train_time:1156.33s | step_avg:5899.62ms
step:196/4768 | loss 0.173345 | train_time:1162.22s | step_avg:5899.59ms
step:197/4768 | loss 0.173221 | train_time:1168.11s | step_avg:5899.57ms
step:198/4768 | loss 0.173053 | train_time:1174.01s | step_avg:5899.54ms
step:199/4768 | loss 0.175056 | train_time:1179.90s | step_avg:5899.52ms
step:200/4768 | loss 0.177524 | train_time:1185.80s | step_avg:5899.50ms
step:201/4768 | loss 0.175088 | train_time:1191.70s | step_avg:5899.49ms
step:202/4768 | loss 0.173194 | train_time:1197.60s | step_avg:5899.48ms
step:203/4768 | loss 0.173202 | train_time:1203.49s | step_avg:5899.47ms
step:204/4768 | loss 0.173173 | train_time:1209.39s | step_avg:5899.45ms
step:205/4768 | loss 0.168704 | train_time:1215.29s | step_avg:5899.44ms
step:206/4768 | loss 0.171625 | train_time:1221.18s | step_avg:5899.43ms
step:207/4768 | loss 0.171787 | train_time:1227.08s | step_avg:5899.42ms
step:208/4768 | loss 0.169536 | train_time:1232.98s | step_avg:5899.41ms
step:209/4768 | loss 0.169060 | train_time:1238.87s | step_avg:5899.40ms
step:210/4768 | loss 0.170602 | train_time:1244.77s | step_avg:5899.40ms
step:211/4768 | loss 0.171062 | train_time:1250.67s | step_avg:5899.40ms
step:212/4768 | loss 0.170119 | train_time:1256.57s | step_avg:5899.40ms
step:213/4768 | loss 0.169817 | train_time:1262.47s | step_avg:5899.41ms
step:214/4768 | loss 0.169112 | train_time:1268.38s | step_avg:5899.44ms
step:215/4768 | loss 0.171387 | train_time:1274.28s | step_avg:5899.45ms
step:216/4768 | loss 0.168837 | train_time:1280.18s | step_avg:5899.46ms
step:217/4768 | loss 0.169612 | train_time:1286.08s | step_avg:5899.47ms
step:218/4768 | loss 0.167885 | train_time:1291.99s | step_avg:5899.49ms
step:219/4768 | loss 0.167189 | train_time:1297.89s | step_avg:5899.49ms
step:220/4768 | loss 0.167752 | train_time:1303.79s | step_avg:5899.49ms
step:221/4768 | loss 0.166350 | train_time:1309.69s | step_avg:5899.50ms
step:222/4768 | loss 0.167288 | train_time:1315.59s | step_avg:5899.50ms
step:223/4768 | loss 0.168564 | train_time:1321.49s | step_avg:5899.50ms
step:224/4768 | loss 0.167412 | train_time:1327.40s | step_avg:5899.53ms
step:225/4768 | loss 0.165013 | train_time:1333.30s | step_avg:5899.54ms
step:226/4768 | loss 0.165803 | train_time:1339.20s | step_avg:5899.55ms
step:227/4768 | loss 0.167783 | train_time:1345.10s | step_avg:5899.55ms
step:228/4768 | loss 0.168705 | train_time:1351.00s | step_avg:5899.55ms
step:229/4768 | loss 0.171470 | train_time:1356.89s | step_avg:5899.54ms
step:230/4768 | loss 0.166938 | train_time:1362.80s | step_avg:5899.55ms
step:231/4768 | loss 0.168461 | train_time:1368.70s | step_avg:5899.55ms
step:232/4768 | loss 0.168134 | train_time:1374.60s | step_avg:5899.55ms
step:233/4768 | loss 0.168318 | train_time:1380.50s | step_avg:5899.57ms
step:234/4768 | loss 0.167891 | train_time:1386.40s | step_avg:5899.58ms
step:235/4768 | loss 0.170728 | train_time:1392.30s | step_avg:5899.58ms
step:236/4768 | loss 0.168713 | train_time:1398.20s | step_avg:5899.59ms
step:237/4768 | loss 0.169947 | train_time:1404.10s | step_avg:5899.58ms
step:238/4768 | loss 0.169204 | train_time:1410.00s | step_avg:5899.57ms
step:239/4768 | loss 0.165297 | train_time:1415.90s | step_avg:5899.58ms
step:240/4768 | loss 0.168224 | train_time:1421.80s | step_avg:5899.59ms
step:241/4768 | loss 0.170235 | train_time:1427.70s | step_avg:5899.59ms
step:242/4768 | loss 0.169983 | train_time:1433.60s | step_avg:5899.59ms
step:243/4768 | loss 0.165807 | train_time:1439.51s | step_avg:5899.61ms
step:244/4768 | loss 0.166359 | train_time:1445.41s | step_avg:5899.61ms
step:245/4768 | loss 0.165362 | train_time:1451.31s | step_avg:5899.61ms
step:246/4768 | loss 0.164833 | train_time:1457.20s | step_avg:5899.61ms
step:247/4768 | loss 0.164278 | train_time:1463.10s | step_avg:5899.61ms
step:248/4768 | loss 0.163054 | train_time:1469.01s | step_avg:5899.62ms
step:249/4768 | loss 0.164724 | train_time:1474.91s | step_avg:5899.62ms
step:250/4768 | loss 0.162925 | train_time:1480.81s | step_avg:5899.63ms
step:251/4768 | loss 0.165451 | train_time:1486.71s | step_avg:5899.65ms
step:252/4768 | loss 0.163696 | train_time:1492.61s | step_avg:5899.66ms
step:253/4768 | loss 0.163495 | train_time:1498.52s | step_avg:5899.67ms
step:254/4768 | loss 0.161634 | train_time:1504.42s | step_avg:5899.70ms
step:255/4768 | loss 0.163569 | train_time:1510.33s | step_avg:5899.72ms
step:256/4768 | val loss 5.251462
step:256/4768 | loss 0.163013 | train_time:1516.24s | step_avg:5899.76ms
step:257/4768 | loss 0.165155 | train_time:1522.14s | step_avg:5899.77ms
step:258/4768 | loss 0.164232 | train_time:1528.04s | step_avg:5899.78ms
step:259/4768 | loss 0.164281 | train_time:1533.95s | step_avg:5899.79ms
step:260/4768 | loss 0.164134 | train_time:1539.85s | step_avg:5899.81ms
step:261/4768 | loss 0.162551 | train_time:1545.76s | step_avg:5899.84ms
step:262/4768 | loss 0.165124 | train_time:1551.67s | step_avg:5899.89ms
step:263/4768 | loss 0.163956 | train_time:1557.57s | step_avg:5899.89ms
step:264/4768 | loss 0.162987 | train_time:1563.48s | step_avg:5899.91ms
step:265/4768 | loss 0.162076 | train_time:1569.38s | step_avg:5899.92ms
step:266/4768 | loss 0.162116 | train_time:1575.28s | step_avg:5899.93ms
step:267/4768 | loss 0.162100 | train_time:1581.18s | step_avg:5899.94ms
step:268/4768 | loss 0.160029 | train_time:1587.09s | step_avg:5899.96ms
step:269/4768 | loss 0.161951 | train_time:1592.99s | step_avg:5899.97ms
step:270/4768 | loss 0.161483 | train_time:1598.89s | step_avg:5899.98ms
step:271/4768 | loss 0.162411 | train_time:1604.80s | step_avg:5899.99ms
step:272/4768 | loss 0.159738 | train_time:1610.70s | step_avg:5900.00ms
step:273/4768 | loss 0.161928 | train_time:1616.60s | step_avg:5900.01ms
step:274/4768 | loss 0.159430 | train_time:1622.51s | step_avg:5900.02ms
step:275/4768 | loss 0.161430 | train_time:1628.41s | step_avg:5900.03ms
step:276/4768 | loss 0.160957 | train_time:1634.31s | step_avg:5900.04ms
step:277/4768 | loss 0.160416 | train_time:1640.22s | step_avg:5900.06ms
step:278/4768 | loss 0.159246 | train_time:1646.12s | step_avg:5900.06ms
step:279/4768 | loss 0.158836 | train_time:1652.02s | step_avg:5900.08ms
step:280/4768 | loss 0.161022 | train_time:1657.93s | step_avg:5900.09ms
step:281/4768 | loss 0.163161 | train_time:1663.83s | step_avg:5900.10ms
step:282/4768 | loss 0.158788 | train_time:1669.73s | step_avg:5900.10ms
step:283/4768 | loss 0.159847 | train_time:1675.64s | step_avg:5900.13ms
step:284/4768 | loss 0.158278 | train_time:1681.54s | step_avg:5900.14ms
step:285/4768 | loss 0.160770 | train_time:1687.44s | step_avg:5900.14ms
step:286/4768 | loss 0.158744 | train_time:1693.34s | step_avg:5900.15ms
step:287/4768 | loss 0.159018 | train_time:1699.25s | step_avg:5900.17ms
step:288/4768 | loss 0.158672 | train_time:1705.15s | step_avg:5900.18ms
step:289/4768 | loss 0.158191 | train_time:1711.06s | step_avg:5900.19ms
step:290/4768 | loss 0.159943 | train_time:1716.96s | step_avg:5900.20ms
step:291/4768 | loss 0.157786 | train_time:1722.86s | step_avg:5900.22ms
step:292/4768 | loss 0.160127 | train_time:1728.77s | step_avg:5900.23ms
step:293/4768 | loss 0.157801 | train_time:1734.67s | step_avg:5900.24ms
step:294/4768 | loss 0.161824 | train_time:1740.57s | step_avg:5900.25ms
step:295/4768 | loss 0.158431 | train_time:1746.48s | step_avg:5900.26ms
step:296/4768 | loss 0.159142 | train_time:1752.38s | step_avg:5900.28ms
step:297/4768 | loss 0.159705 | train_time:1758.29s | step_avg:5900.29ms
step:298/4768 | loss 0.156755 | train_time:1764.19s | step_avg:5900.30ms
step:299/4768 | loss 0.158261 | train_time:1770.10s | step_avg:5900.32ms
step:300/4768 | loss 0.156324 | train_time:1776.00s | step_avg:5900.33ms
step:301/4768 | loss 0.157196 | train_time:1781.90s | step_avg:5900.33ms
step:302/4768 | loss 0.155961 | train_time:1787.80s | step_avg:5900.35ms
step:303/4768 | loss 0.156234 | train_time:1793.71s | step_avg:5900.35ms
step:304/4768 | loss 0.157648 | train_time:1799.61s | step_avg:5900.36ms
step:305/4768 | loss 0.155344 | train_time:1805.51s | step_avg:5900.36ms
step:306/4768 | loss 0.155402 | train_time:1811.41s | step_avg:5900.37ms
step:307/4768 | loss 0.156466 | train_time:1817.32s | step_avg:5900.38ms
step:308/4768 | loss 0.153687 | train_time:1823.22s | step_avg:5900.39ms
step:309/4768 | loss 0.158129 | train_time:1829.12s | step_avg:5900.38ms
step:310/4768 | loss 0.157149 | train_time:1835.03s | step_avg:5900.41ms
step:311/4768 | loss 0.156381 | train_time:1840.93s | step_avg:5900.42ms
step:312/4768 | loss 0.155583 | train_time:1846.83s | step_avg:5900.43ms
step:313/4768 | loss 0.156759 | train_time:1852.74s | step_avg:5900.44ms
step:314/4768 | loss 0.156053 | train_time:1858.64s | step_avg:5900.45ms
step:315/4768 | loss 0.154118 | train_time:1864.54s | step_avg:5900.45ms
step:316/4768 | loss 0.154554 | train_time:1870.44s | step_avg:5900.45ms
step:317/4768 | loss 0.153324 | train_time:1876.34s | step_avg:5900.45ms
step:318/4768 | loss 0.152875 | train_time:1882.24s | step_avg:5900.45ms
step:319/4768 | loss 0.156084 | train_time:1888.14s | step_avg:5900.45ms
step:320/4768 | loss 0.152727 | train_time:1894.04s | step_avg:5900.45ms
step:321/4768 | loss 0.155107 | train_time:1899.95s | step_avg:5900.45ms
step:322/4768 | loss 0.154463 | train_time:1905.85s | step_avg:5900.45ms
step:323/4768 | loss 0.156698 | train_time:1911.75s | step_avg:5900.46ms
step:324/4768 | loss 0.153873 | train_time:1917.65s | step_avg:5900.46ms
step:325/4768 | loss 0.154856 | train_time:1923.55s | step_avg:5900.46ms
step:326/4768 | loss 0.155037 | train_time:1929.45s | step_avg:5900.46ms
step:327/4768 | loss 0.155347 | train_time:1935.35s | step_avg:5900.46ms
step:328/4768 | loss 0.153486 | train_time:1941.25s | step_avg:5900.44ms
step:329/4768 | loss 0.154421 | train_time:1947.14s | step_avg:5900.43ms
step:330/4768 | loss 0.152225 | train_time:1953.04s | step_avg:5900.41ms
step:331/4768 | loss 0.154812 | train_time:1958.93s | step_avg:5900.40ms
step:332/4768 | loss 0.153323 | train_time:1964.83s | step_avg:5900.39ms
step:333/4768 | loss 0.151425 | train_time:1970.73s | step_avg:5900.38ms
step:334/4768 | loss 0.153864 | train_time:1976.63s | step_avg:5900.37ms
step:335/4768 | loss 0.155981 | train_time:1982.52s | step_avg:5900.36ms
step:336/4768 | loss 0.159235 | train_time:1988.42s | step_avg:5900.35ms
step:337/4768 | loss 0.157702 | train_time:1994.32s | step_avg:5900.35ms
step:338/4768 | loss 0.153260 | train_time:2000.21s | step_avg:5900.33ms
step:339/4768 | loss 0.152272 | train_time:2006.11s | step_avg:5900.32ms
